symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2016-06-09 00:00:00+00:00,23.3438704539,23.4235183812,23.0651027084,23.0744730527,106405416,99.65,0.0,99.99,98.46,98.5,1.0,26601354
AAPL,2016-06-10 00:00:00+00:00,23.1517783939,23.2725855589,23.0697878805,23.081500811,126851744,98.83,0.0,99.3457,98.48,98.53,1.0,31712936
AAPL,2016-06-13 00:00:00+00:00,22.8027330655,23.2197133907,22.7465109992,23.1189821886,152081976,97.34,0.0,99.12,97.1,98.69,1.0,38020494
AAPL,2016-06-14 00:00:00+00:00,22.8308440987,23.0686165875,22.6645204858,22.7980478933,127727776,97.46,0.0,98.475,96.75,97.32,1.0,31931944
AAPL,2016-06-15 00:00:00+00:00,22.7558813436,23.0533897779,22.7301128965,22.9151771982,117780908,97.14,0.0,98.41,97.03,97.82,1.0,29445227
AAPL,2016-06-16 00:00:00+00:00,22.8519273736,22.8987790955,22.5052246312,22.5942429029,125307260,97.55,0.0,97.75,96.07,96.45,1.0,31326815
AAPL,2016-06-17 00:00:00+00:00,22.3318732601,22.6410946248,22.3248455018,22.6340668666,244032876,95.33,0.0,96.65,95.3,96.62,1.0,61008219
AAPL,2016-06-20 00:00:00+00:00,22.2779937799,22.6223539361,22.2615956772,22.4888265286,137647604,95.1,0.0,96.57,95.03,96.0,1.0,34411901
AAPL,2016-06-21 00:00:00+00:00,22.4677432537,22.5708170419,22.1786681294,22.2405124023,142185432,95.91,0.0,96.35,94.676,94.94,1.0,35546358
AAPL,2016-06-22 00:00:00+00:00,22.3834101542,22.6973166912,22.3365584323,22.547391181,116876488,95.55,0.0,96.89,95.35,96.25,1.0,29219122
AAPL,2016-06-23 00:00:00+00:00,22.5122523895,22.5567615254,22.3131325713,22.474771012,128960748,96.1,0.0,96.29,95.25,95.94,1.0,32240187
AAPL,2016-06-24 00:00:00+00:00,21.8797541434,22.1737486986,21.7040601862,21.7649674247,301245424,93.4,0.0,94.655,92.65,92.91,1.0,75311356
AAPL,2016-06-27 00:00:00+00:00,21.5611624343,21.79776363,21.434662785,21.7860506995,186488752,92.04,0.0,93.05,91.5,93.0,1.0,46622188
AAPL,2016-06-28 00:00:00+00:00,21.9242632792,21.9406613819,21.5845882952,21.7626248386,161779656,93.59,0.0,93.66,92.14,92.9,1.0,40444914
AAPL,2016-06-29 00:00:00+00:00,22.1140127531,22.1491515445,21.9336336236,22.0132815509,146124024,94.4,0.0,94.55,93.63,93.97,1.0,36531006
AAPL,2016-06-30 00:00:00+00:00,22.3951230847,22.4349470483,22.0905868921,22.1233830975,143345424,95.6,0.0,95.77,94.3,94.44,1.0,35836356
AAPL,2016-07-01 00:00:00+00:00,22.4630580815,22.5977567821,22.3318732601,22.3693546376,104106160,95.89,0.0,96.465,95.33,95.49,1.0,26026540
AAPL,2016-07-05 00:00:00+00:00,22.2522253328,22.3482713628,22.1280682697,22.3459287767,110820840,94.99,0.0,95.4,94.46,95.39,1.0,27705210
AAPL,2016-07-06 00:00:00+00:00,22.378724982,22.4091786013,22.1069849948,22.160864475,123796360,95.53,0.0,95.66,94.37,94.6,1.0,30949090
AAPL,2016-07-07 00:00:00+00:00,22.474771012,22.6059558334,22.3998082569,22.4185489457,100558232,95.94,0.0,96.5,95.62,95.7,1.0,25139558
AAPL,2016-07-08 00:00:00+00:00,22.6481223831,22.6973166912,22.500539459,22.6036132473,115648412,96.68,0.0,96.89,96.05,96.49,1.0,28912103
AAPL,2016-07-11 00:00:00+00:00,22.718399966,22.8753532345,22.6598353136,22.6645204858,95179780,96.98,0.0,97.65,96.73,96.75,1.0,23794945
AAPL,2016-07-12 00:00:00+00:00,22.8214737543,22.887066165,22.7511961714,22.7629091019,96669852,97.42,0.0,97.7,97.12,97.17,1.0,24167463
AAPL,2016-07-13 00:00:00+00:00,22.692631519,22.8800384067,22.6856037607,22.8191311682,103568684,96.87,0.0,97.67,96.84,97.41,1.0,25892171
AAPL,2016-07-14 00:00:00+00:00,23.1424080495,23.1892597715,22.7980478933,22.814445996,155675988,98.79,0.0,98.99,97.32,97.39,1.0,38918997
AAPL,2016-07-15 00:00:00+00:00,23.1400654634,23.2618799405,23.0744730527,23.1728616688,120547960,98.78,0.0,99.3,98.5,98.92,1.0,30136990
AAPL,2016-07-18 00:00:00+00:00,23.3860370036,23.4563145865,23.0978989137,23.1213247747,145975468,99.83,0.0,100.13,98.6,98.7,1.0,36493867
AAPL,2016-07-19 00:00:00+00:00,23.395407348,23.4258609672,23.2712502849,23.322787179,95119696,99.87,0.0,100.0,99.34,99.56,1.0,23779924
AAPL,2016-07-20 00:00:00+00:00,23.4164906229,23.5336199277,23.3637824357,23.4258609672,105103872,99.96,0.0,100.46,99.735,100.0,1.0,26275968
AAPL,2016-07-21 00:00:00+00:00,23.2923335597,23.6601195769,23.2220559768,23.3860370036,130808112,99.43,0.0,101.0,99.13,99.83,1.0,32702028
AAPL,2016-07-22 00:00:00+00:00,23.1119544303,23.2618799405,23.0299639169,23.2525095961,113254676,98.66,0.0,99.3,98.31,99.26,1.0,28313669
AAPL,2016-07-25 00:00:00+00:00,22.8027330655,23.15412098,22.7043444495,23.0159084003,161531684,97.34,0.0,98.84,96.92,98.25,1.0,40382921
AAPL,2016-07-26 00:00:00+00:00,22.645779797,22.9503159896,22.5872151446,22.6809185885,224959288,96.67,0.0,97.97,96.42,96.82,1.0,56239822
AAPL,2016-07-27 00:00:00+00:00,24.1169238658,24.4448859193,24.0700721438,24.4249739375,369379280,102.95,0.0,104.35,102.75,104.265,1.0,92344820
AAPL,2016-07-28 00:00:00+00:00,24.4425433332,24.4683117803,24.0864702465,24.0888128326,159479356,104.34,0.0,104.45,102.82,102.83,1.0,39869839
AAPL,2016-07-29 00:00:00+00:00,24.412089714,24.4917376413,24.2879326508,24.4074045418,110934752,104.21,0.0,104.55,103.68,104.19,1.0,27733688
AAPL,2016-08-01 00:00:00+00:00,24.8431255558,24.8665514167,24.4589414359,24.4589414359,152671484,106.05,0.0,106.15,104.41,104.41,1.0,38167871
AAPL,2016-08-02 00:00:00+00:00,24.4753395386,24.847810728,24.3628954059,24.8431255558,135266224,104.48,0.0,106.07,104.0,106.05,1.0,33816556
AAPL,2016-08-03 00:00:00+00:00,24.7822183173,24.7939312477,24.5432745354,24.5526448798,120810564,105.79,0.0,105.84,104.77,104.81,1.0,30202641
AAPL,2016-08-04 00:00:00+00:00,24.9344864135,24.9651039939,24.7955297026,24.8661856573,109634600,105.87,0.57,106.0,105.28,105.58,1.0,27408650
AAPL,2016-08-05 00:00:00+00:00,25.3136733704,25.3537117448,25.0074975667,25.0286943531,162213608,107.48,0.0,107.65,106.18,106.27,1.0,40553402
AAPL,2016-08-08 00:00:00+00:00,25.523286036,25.523286036,25.2383070187,25.3230941644,112148880,108.37,0.0,108.37,107.16,107.52,1.0,28037220
AAPL,2016-08-09 00:00:00+00:00,25.6269147696,25.65753235,25.4384988904,25.4903132572,105260816,108.81,0.0,108.94,108.01,108.23,1.0,26315204
AAPL,2016-08-10 00:00:00+00:00,25.4361436919,25.648111556,25.3796189281,25.6033627847,96034020,108.0,0.0,108.9,107.76,108.71,1.0,24008505
AAPL,2016-08-11 00:00:00+00:00,25.4196573025,25.6551771515,25.4008157146,25.5586140134,109938024,107.93,0.0,108.93,107.85,108.52,1.0,27484506
AAPL,2016-08-12 00:00:00+00:00,25.4785372647,25.5397724255,25.3843293251,25.3843293251,74641736,108.18,0.0,108.44,107.78,107.78,1.0,18660434
AAPL,2016-08-15 00:00:00+00:00,25.7847130684,25.7988442594,25.4549852798,25.4691164708,103472836,109.48,0.0,109.54,108.08,108.14,1.0,25868209
AAPL,2016-08-16 00:00:00+00:00,25.7611610835,25.9613529552,25.7211227092,25.8200410458,135177792,109.38,0.0,110.23,109.21,109.63,1.0,33794448
AAPL,2016-08-17 00:00:00+00:00,25.7234779077,25.758805885,25.5162204406,25.6952155258,101423904,109.22,0.0,109.37,108.34,109.1,1.0,25355976
AAPL,2016-08-18 00:00:00+00:00,25.6905051288,25.8129754503,25.6763739379,25.7258331062,87938812,109.08,0.0,109.6,109.02,109.23,1.0,21984703
AAPL,2016-08-19 00:00:00+00:00,25.7564506865,25.8341722367,25.5209308375,25.6174939756,101472288,109.36,0.0,109.69,108.36,108.77,1.0,25368072
